y,study,type
-0.4045058487021084,1,1
-0.4207732242369875,1,2
-0.14042759761171614,2,1
0.11987570694501878,2,2
-0.5033811979184979,3,1
-0.7793281650874626,3,2
0.13226644559003992,4,1
0.7801435788701241,4,2
-0.2651605816306086,5,1
-1.2399646757124776,5,2
0.5143104811352466,6,1
0.3271146914895734,6,2
0.2413138009597509,7,1
0.018514174596633813,7,2
-0.3434064316773656,8,1
-1.1230030971888967,8,2
0.5003515387694277,9,1
0.8173121868733938,9,2
-0.5355277502369362,10,1
-1.5868869480092975,10,2
-0.28051940169851136,11,1
-0.7682051679577968,11,2
-0.04659356428085144,12,1
-0.8801098539811405,12,2
0.0363664950666434,13,1
0.901459666699153,13,2
0.15655653517997167,14,1
0.6434110886495118,14,2
-0.49669212499925947,15,1
-1.5542034838397596,15,2
-0.867705097649305,16,1
-1.1727949292827915,16,2
0.3541162412245482,17,1
0.004505100963934874,17,2
-0.3702571011701297,18,1
0.596262215502446,18,2
-0.26947765458563144,19,1
-0.1900138924236101,19,2
0.16020123527375207,20,1
-0.8170965422653009,20,2
-0.9501900593390017,21,1
-0.7696281440860478,21,2
0.6406427671040442,22,1
0.6814392240504484,22,2
0.5638628553345434,23,1
0.47415827215191253,23,2
-1.0131846011329346,24,1
-1.5245427212172484,24,2
0.3123722972704001,25,1
1.2492196264915596,25,2
0.41770099662099874,26,1
1.015735718808569,26,2
0.18665358499707208,27,1
-0.24433259773497684,27,2
0.11636335894826684,28,1
-0.4433301543068508,28,2
-0.5829311004184842,29,1
-0.3917737156560116,29,2
-0.0069935462526455,30,1
1.312369055953664,30,2
